Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT7,EP,0,0.015960662105152457
NSGAII,ZCAT7,EP,1,0.014521573694568954
NSGAII,ZCAT7,EP,2,0.016691549389654226
NSGAII,ZCAT7,EP,3,0.014095005438299557
NSGAII,ZCAT7,EP,4,0.01591239865515537
NSGAII,ZCAT7,EP,5,0.016514724167776773
NSGAII,ZCAT7,EP,6,0.01262265150982761
NSGAII,ZCAT7,EP,7,0.01175842371040503
NSGAII,ZCAT7,EP,8,0.014732774958074013
NSGAII,ZCAT7,EP,9,0.010309172304240888
NSGAII,ZCAT7,EP,10,0.011426979007084115
NSGAII,ZCAT7,EP,11,0.015064851603739604
NSGAII,ZCAT7,EP,12,0.012060097816942728
NSGAII,ZCAT7,EP,13,0.014687400676237639
NSGAII,ZCAT7,EP,14,0.012538413103408474
NSGAII,ZCAT7,EP,15,0.011714348732446977
NSGAII,ZCAT7,EP,16,0.015677080619022343
NSGAII,ZCAT7,EP,17,0.012989426825781122
NSGAII,ZCAT7,EP,18,0.01332940370702787
NSGAII,ZCAT7,EP,19,0.014291494950107064
NSGAII,ZCAT7,EP,20,0.012536842928196124
NSGAII,ZCAT7,EP,21,0.012247813610266944
NSGAII,ZCAT7,EP,22,0.01505712612497756
NSGAII,ZCAT7,EP,23,0.01383478696321995
NSGAII,ZCAT7,EP,24,0.012773384407389829
NSGAII,ZCAT7,EP,25,0.012945390409688118
NSGAII,ZCAT7,EP,26,0.011335469050596306
NSGAII,ZCAT7,EP,27,0.012263609110779616
NSGAII,ZCAT7,EP,28,0.011942256739096824
NSGAII,ZCAT7,EP,29,0.012268827003061311
NSGAII,ZCAT8,EP,0,0.014140350338413099
NSGAII,ZCAT8,EP,1,0.013466477137502708
NSGAII,ZCAT8,EP,2,0.010420588093913663
NSGAII,ZCAT8,EP,3,0.012117309176035151
NSGAII,ZCAT8,EP,4,0.012570504798192994
NSGAII,ZCAT8,EP,5,0.013634553189488918
NSGAII,ZCAT8,EP,6,0.01441979644957092
NSGAII,ZCAT8,EP,7,0.011741830180230006
NSGAII,ZCAT8,EP,8,0.014068861460407811
NSGAII,ZCAT8,EP,9,0.013335207830757922
NSGAII,ZCAT8,EP,10,0.012649545974725895
NSGAII,ZCAT8,EP,11,0.013121340786547697
NSGAII,ZCAT8,EP,12,0.015979879495656824
NSGAII,ZCAT8,EP,13,0.012947561152880649
NSGAII,ZCAT8,EP,14,0.011356628450525541
NSGAII,ZCAT8,EP,15,0.015140101445247134
NSGAII,ZCAT8,EP,16,0.013612288697189974
NSGAII,ZCAT8,EP,17,0.013468308206493584
NSGAII,ZCAT8,EP,18,0.016959928310136263
NSGAII,ZCAT8,EP,19,0.015713515105024167
